Link ID,Start Node,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
992122-993013,992122,836055.1085,825865.9349,993013,835731.7104,825360.6228,ST,MAJOR ROUTE
992123-992124,992123,835720.8031,825351.6455,992124,835705.5282,825338.7353,ST,MAJOR ROUTE
992124-991042,992124,835705.5282,825338.7353,991042,835690.2532,825325.825,ST,MAJOR ROUTE
992125-993017,992125,835674.5113,825313.493,993017,834821.9649,824311.3009,ST,MAJOR ROUTE
992126-992127,992126,832980.8479,822769.1088,992127,832966.4794,822755.2031,ST,MAJOR ROUTE
992127-991043,992127,832966.4794,822755.2031,991043,832952.4088,822740.9898,ST,MAJOR ROUTE
992128-992129,992128,836305.5911,826747.8456,992129,836291.3997,826761.9382,ST,MAJOR ROUTE
992129-991044,992129,836291.3997,826761.9382,991044,836277.2082,826776.0309,ST,MAJOR ROUTE
992130-992131,992130,836262.9832,826790.0885,992131,835463.0772,826895.996,ST,MAJOR ROUTE
992131-992132,992131,835463.0772,826895.996,992132,835443.7725,826890.7694,ST,MAJOR ROUTE
992132-991045,992132,835443.7725,826890.7694,991045,835424.401,826885.7949,ST,MAJOR ROUTE
992133-992134,992133,835404.9662,826881.0739,992134,835304.1506,826854.9632,ST,MAJOR ROUTE
992134-992135,992134,835304.1506,826854.9632,992135,835284.7557,826850.0807,ST,MAJOR ROUTE
992135-991046,992135,835284.7557,826850.0807,991046,835265.3781,826845.1303,ST,MAJOR ROUTE
992136-993019,992136,835246.0144,826840.1255,993019,835129.9142,826809.3339,ST,MAJOR ROUTE
992137-992138,992137,832416.3317,826796.9569,992138,832401.9462,826810.8515,ST,MAJOR ROUTE
992138-991047,992138,832401.9462,826810.8515,991047,832387.5607,826824.746,ST,MAJOR ROUTE
992139-993021,992139,823587.3091,836053.8705,993021,823225.0754,834996.5499,TM,MAJOR ROUTE
992140-992142,992140,823196.1382,834948.4203,992142,823206.885,834965.2862,TM,MAJOR ROUTE
992141-992143,992141,823188.3683,834953.8558,992143,823201.4071,834969.0213,TM,MAJOR ROUTE
992142-991049,992142,823185.5732,834931.4385,991049,823196.1382,834948.4203,TM,MAJOR ROUTE
992143-991050,992143,823176.8556,834937.502,991050,823188.3683,834953.8558,TM,MAJOR ROUTE
992144-992164,992144,823175.8512,834913.9605,992164,823004.7494,834417.2961,TM,MAJOR ROUTE
992145-992146,992145,823165.6758,834920.9233,992146,823128.7596,834147.7907,TM,MAJOR ROUTE
992146-992147,992146,823128.7596,834147.7907,992147,823135.6781,834129.0254,TM,MAJOR ROUTE
992147-991051,992147,823135.6781,834129.0254,991051,823142.5967,834110.2602,TM,MAJOR ROUTE
992148-992149,992148,823149.6202,834091.534,992149,823647.792,833453.1641,TM,MAJOR ROUTE
992149-992150,992149,823647.792,833453.1641,992150,823663.0466,833440.23,TM,MAJOR ROUTE
992150-991052,992150,823663.0466,833440.23,991052,823678.326,833427.3258,TM,MAJOR ROUTE
992151-992152,992151,823693.8437,833414.7083,992152,824224.506,832970.5843,TM,MAJOR ROUTE
992152-992153,992152,824237.745,832955.5954,992153,824224.506,832970.5843,TM,MAJOR ROUTE
992153-991053,992153,824251.1477,832940.7513,991053,824237.745,832955.5954,TM,MAJOR ROUTE
992154-992155,992154,824264.1649,832925.5673,992155,824678.5428,831578.9245,TM,MAJOR ROUTE
992155-992156,992155,824679.2237,831558.9361,992156,824678.5428,831578.9245,TM,MAJOR ROUTE
992156-991054,992156,824679.3904,831538.9385,991054,824679.2237,831558.9361,TM,MAJOR ROUTE
992157-992158,992157,824679.2074,831518.9393,992158,824495.6324,830459.6222,TM,MAJOR ROUTE
992158-992159,992158,824486.8414,830441.658,992159,824495.6324,830459.6222,TM,MAJOR ROUTE
992159-991055,992159,824477.5608,830423.9415,991055,824486.8414,830441.658,TM,MAJOR ROUTE
992160-993022,992160,824467.8497,830406.4575,993022,824236.8595,829891.4274,TM,MAJOR ROUTE
992161-992162,992161,825161.5023,826142.8711,992162,825145.491,826154.8559,TM,MAJOR ROUTE
992162-991056,992162,825177.4052,826130.7426,991056,825161.5023,826142.8711,TM,MAJOR ROUTE
992163-993024,992163,825193.276,826118.5723,993024,825667.9161,825795.6446,TM,MAJOR ROUTE
992164-992165,992164,823004.7494,834417.2961,992165,822987.6478,834406.9401,TM,MAJOR ROUTE
992165-991057,992165,822987.6478,834406.9401,991057,822969.5934,834398.4122,TM,MAJOR ROUTE
992166-992167,992166,822950.9647,834391.1871,992167,822196.8346,834147.5226,TM,MAJOR ROUTE
992167-992168,992167,822196.8346,834147.5226,992168,822186.2266,834130.584,TM,MAJOR ROUTE
992168-991058,992168,822186.2266,834130.584,991058,822177.0044,834112.8398,TM,MAJOR ROUTE
992169-992170,992169,822168.4672,834094.7564,992170,821776.8185,833020.3738,TM,MAJOR ROUTE
992170-992171,992170,821762.1539,833006.7741,992171,821776.8185,833020.3738,TM,MAJOR ROUTE
992171-991059,992171,821747.3574,832993.3182,991059,821762.1539,833006.7741,TM,MAJOR ROUTE
992172-992173,992172,821732.5605,832979.8626,992173,820946.0188,832769.3458,TM,MAJOR ROUTE
992173-992174,992173,820946.0188,832769.3458,992174,820926.3911,832773.1865,TM,MAJOR ROUTE
992174-991060,992174,820926.3911,832773.1865,991060,820906.7252,832776.8246,TM,MAJOR ROUTE
992175-992176,992175,820887.0664,832780.5028,992176,819794.9057,833075.5778,TM,MAJOR ROUTE
992176-992177,992176,819794.9057,833075.5778,992177,819777.2144,833084.9062,TM,MAJOR ROUTE
992177-991061,992177,819777.2144,833084.9062,991061,819759.5232,833094.2347,TM,MAJOR ROUTE
992178-992179,992178,819741.3883,833102.6634,992179,818924.7289,833066.6428,TM,MAJOR ROUTE
992179-992180,992179,818924.7289,833066.6428,992180,818905.7843,833060.2332,TM,MAJOR ROUTE
992180-991062,992180,818905.7843,833060.2332,991062,818886.8447,833053.8075,TM,MAJOR ROUTE
992181-992182,992181,818867.9042,833047.3844,992182,818313.0527,832465.8292,TM,MAJOR ROUTE
992182-992183,992182,818313.0527,832465.8292,992183,818306.6999,832446.865,TM,MAJOR ROUTE
992183-991063,992183,818306.6999,832446.865,991063,818300.1592,832427.9648,TM,MAJOR ROUTE
992184-992185,992184,818293.611,832409.0671,992185,817619.739,831579.2921,TM,MAJOR ROUTE
992185-992186,992185,817619.739,831579.2921,992186,817603.4929,831567.6284,TM,MAJOR ROUTE
992186-991064,992186,817603.4929,831567.6284,991064,817587.5165,831555.5985,TM,MAJOR ROUTE
992187-992188,992187,817571.6781,831543.3901,992188,816727.7899,830703.223,TM,MAJOR ROUTE
992188-992189,992188,816727.7899,830703.223,992189,816708.0996,830699.7172,TM,MAJOR ROUTE
992189-991065,992189,816708.0996,830699.7172,991065,816688.3112,830696.8154,TM,MAJOR ROUTE
992190-992191,992190,816668.4696,830694.3031,992191,815982.2689,830385.3941,TM,MAJOR ROUTE
992191-992192,992191,815982.2689,830385.3941,992192,815977.0089,830366.0982,TM,MAJOR ROUTE
992192-991066,992192,815977.0089,830366.0982,991066,815971.785,830346.7926,TM,MAJOR ROUTE
992193-992194,992193,815966.4901,830327.5068,992194,815717.876,829141.3071,TM,MAJOR ROUTE
992194-992195,992194,815717.876,829141.3071,992195,815714.0945,829121.6699,TM,MAJOR ROUTE
992195-991067,992195,815714.0945,829121.6699,991067,815710.3657,829102.0231,TM,MAJOR ROUTE
992196-993025,992196,815706.5987,829082.3819,993025,815628.7864,828637.3777,TM,MAJOR ROUTE
992197-992198,992197,815646.5011,828434.9726,992198,815641.9824,828454.4554,TM,MAJOR ROUTE
992198-991068,992198,815651.5824,828415.6289,991068,815646.5011,828434.9726,TM,MAJOR ROUTE
992199-992200,992199,815656.6346,828396.2775,992200,815773.0828,827952.3328,TM,MAJOR ROUTE
992200-992201,992200,815778.0318,827932.9548,992201,815773.0828,827952.3328,TM,MAJOR ROUTE
992201-991069,992201,815782.9817,827913.5771,991069,815778.0318,827932.9548,TM,MAJOR ROUTE
992202-992203,992202,815788.0094,827894.2193,992203,816116.4623,827049.3792,TM,MAJOR ROUTE
992203-992204,992203,816129.5438,827034.2506,992204,816116.4623,827049.3792,TM,MAJOR ROUTE
992204-991070,992204,816142.8485,827019.3178,991070,816129.5438,827034.2506,TM,MAJOR ROUTE
992205-992206,992205,816156.0456,827004.29,992206,817093.8982,826234.401,TM,MAJOR ROUTE
992206-992207,992206,817113.3063,826239.2307,992207,817093.8982,826234.401,TM,MAJOR ROUTE
992207-991071,992207,817132.5081,826244.798,991071,817113.3063,826239.2307,TM,MAJOR ROUTE
992208-992209,992208,817151.6159,826250.7049,992209,817850.9695,826005.7631,TM,MAJOR ROUTE
992209-992210,992209,817860.2586,825988.565,992210,817850.9695,826005.7631,TM,MAJOR ROUTE
992210-991072,992210,817870.0399,825971.1214,991072,817860.2586,825988.565,TM,MAJOR ROUTE
992211-992212,992211,817879.3961,825953.4448,992212,818711.412,825375.7481,TM,MAJOR ROUTE
992212-992213,992212,818731.1128,825372.3596,992213,818711.412,825375.7481,TM,MAJOR ROUTE
992213-991073,992213,818750.5469,825367.6548,991073,818731.1128,825372.3596,TM,MAJOR ROUTE
992214-992215,992214,818769.6203,825361.6392,992215,819501.2496,825056.6732,TM,MAJOR ROUTE
992215-992216,992215,819501.2496,825056.6732,992216,819511.5074,825039.5045,TM,MAJOR ROUTE
992216-991074,992216,819511.5074,825039.5045,991074,819521.6882,825022.2898,TM,MAJOR ROUTE
992217-992218,992217,819531.7364,825004.9972,992218,819995.5199,824405.0165,TM,MAJOR ROUTE
992218-992219,992218,819995.5199,824405.0165,992219,820008.1989,824389.5491,TM,MAJOR ROUTE
992219-991075,992219,820008.1989,824389.5491,991075,820021.1594,824374.3167,TM,MAJOR ROUTE
992220-992221,992220,820035.6587,824360.5409,992221,820817.5876,824104.7035,TM,MAJOR ROUTE
992221-992222,992221,820817.5876,824104.7035,992222,820837.5644,824105.6679,TM,MAJOR ROUTE
992222-991076,992222,820837.5644,824105.6679,991076,820857.4986,824107.2881,TM,MAJOR ROUTE
992223-992224,992223,820877.418,824109.0822,992224,822003.878,824775.4275,TM,MAJOR ROUTE
992224-992225,992224,822020.4828,824786.5756,992225,822003.878,824775.4275,TM,MAJOR ROUTE
992225-991077,992225,822037.0877,824797.7236,991077,822020.4828,824786.5756,TM,MAJOR ROUTE
992226-992227,992226,822053.6834,824808.8853,992227,823563.6034,825291.8384,TM,MAJOR ROUTE
992227-992228,992227,823563.6034,825291.8384,992228,823582.4296,825298.5892,TM,MAJOR ROUTE
992228-991078,992228,823582.4296,825298.5892,991078,823601.492,825304.6311,TM,MAJOR ROUTE
992229-992230,992229,823620.6967,825310.1979,992230,824804.8856,825296.3065,TM,MAJOR ROUTE
992230-992231,992230,824804.8856,825296.3065,992231,824821.7007,825285.4783,TM,MAJOR ROUTE
992231-991079,992231,824821.7007,825285.4783,991079,824838.8395,825275.2169,TM,MAJOR ROUTE
992232-992233,992232,824856.6812,825266.1795,992233,825768.6597,825837.2056,TM,MAJOR ROUTE
992233-992234,992233,825788.3222,825840.8487,992234,825768.6597,825837.2056,TM,MAJOR ROUTE
992234-991080,992234,825808.2281,825842.5116,991080,825788.3222,825840.8487,TM,MAJOR ROUTE
992235-992236,992235,825828.2039,825841.9638,992236,826774.482,825630.3038,TM,MAJOR ROUTE
992236-992237,992236,826774.482,825630.3038,992237,826793.5369,825624.2285,TM,MAJOR ROUTE
992237-991081,992237,826793.5369,825624.2285,991081,826812.6184,825618.2371,TM,MAJOR ROUTE
992238-992239,992238,826831.6998,825612.2456,992239,827690.8207,825707.337,TM,MAJOR ROUTE
992239-992240,992239,827706.3606,825694.7476,992240,827690.8207,825707.337,TM,MAJOR ROUTE
992240-991082,992240,827721.6418,825681.8456,991082,827706.3606,825694.7476,TM,MAJOR ROUTE
992241-993026,992241,827736.9574,825668.9848,993026,828232.3586,825962.976,TM,MAJOR ROUTE
992242-992243,992242,829056.4571,825901.1323,992243,829070.5015,825886.8932,TM,MAJOR ROUTE
992243-991083,992243,829070.5015,825886.8932,991083,829084.5459,825872.654,TM,MAJOR ROUTE
992244-992245,992244,815795.0103,828324.2237,992245,815802.9338,828305.8644,TM,URBAN ROAD
992245-991084,992245,815802.9338,828305.8644,991084,815811.2071,828287.6577,TM,URBAN ROAD
992246-992247,992246,815819.7469,828269.5726,992247,816103.7904,827399.628,TM,URBAN ROAD
992247-991085,992247,816103.7904,827399.628,991085,816102.5847,827379.6708,TM,URBAN ROAD
992248-992249,992248,816099.9254,827359.8492,992249,816096.1281,827340.2223,TM,URBAN ROAD
992249-992250,992249,816096.1281,827340.2223,992250,816211.6143,826562.0428,TM,URBAN ROAD
992250-992251,992250,816231.1481,826557.7499,992251,816211.6143,826562.0428,TM,URBAN ROAD
992251-991086,992251,816250.8576,826554.3791,991086,816231.1481,826557.7499,TM,URBAN ROAD
992252-992253,992252,816270.7124,826551.9731,992253,817294.6421,826019.6069,TM,URBAN ROAD
992253-991087,992253,817307.7258,826004.5057,991087,817294.6421,826019.6069,TM,URBAN ROAD
992254-992255,992254,817318.9023,825987.9259,992255,817329.5246,825970.9799,TM,URBAN ROAD
992255-992256,992255,817329.5246,825970.9799,992256,818055.3384,825424.4139,TM,URBAN ROAD
992256-992257,992256,818055.3384,825424.4139,992257,818073.0618,825415.1468,TM,URBAN ROAD
992257-991088,992257,818073.0618,825415.1468,991088,818090.5262,825405.4161,TM,URBAN ROAD
992258-992259,992258,818107.4607,825394.7858,992259,819035.1368,825261.8182,TM,URBAN ROAD
992259-992260,992259,819035.1368,825261.8182,992260,819055.0322,825259.7757,TM,URBAN ROAD
992260-991089,992260,819055.0322,825259.7757,991089,819074.9106,825257.5773,TM,URBAN ROAD
992261-992262,992261,819094.7939,825255.4226,992262,820081.1369,824220.2629,TM,URBAN ROAD
992262-992263,992262,820099.2561,824211.8274,992263,820081.1369,824220.2629,TM,URBAN ROAD
992263-991090,992263,820117.5495,824203.7475,991090,820099.2561,824211.8274,TM,URBAN ROAD
992264-992265,992264,820136.1079,824196.292,992265,821339.7453,824131.7146,TM,URBAN ROAD
992265-992266,992265,821339.7453,824131.7146,992266,821358.6616,824138.2045,TM,URBAN ROAD
992266-991091,992266,821358.6616,824138.2045,991091,821377.4565,824145.0369,TM,URBAN ROAD
992267-992268,992267,821396.1316,824152.1953,992268,822353.4512,824602.7605,TM,URBAN ROAD
992268-992269,992268,822353.4512,824602.7605,992269,822371.5206,824611.3333,TM,URBAN ROAD
992269-991092,992269,822371.5206,824611.3333,991092,822389.62,824619.8427,TM,URBAN ROAD
992270-992271,992270,822407.8636,824628.0355,992271,823935.1812,825166.1003,TM,URBAN ROAD
992271-992272,992271,823935.1812,825166.1003,992272,823953.1904,825174.787,TM,URBAN ROAD
992272-991093,992272,823953.1904,825174.787,991093,823970.7807,825184.2859,TM,URBAN ROAD
992273-992274,992273,823988.1326,825194.2307,992274,824225.8201,825390.7374,TM,URBAN ROAD
992274-992275,992274,824225.8201,825390.7374,992275,824244.2254,825398.446,TM,URBAN ROAD
992275-991094,992275,824244.2254,825398.446,991094,824263.7921,825402.5438,TM,URBAN ROAD
992276-992277,992276,824283.6024,825405.292,992277,825187.8594,825027.616,TM,URBAN ROAD
992277-992278,992277,825187.8594,825027.616,992278,825202.9549,825040.7355,TM,URBAN ROAD
992278-991095,992278,825202.9549,825040.7355,991095,825218.0823,825053.8183,TM,URBAN ROAD
992279-992280,992279,825233.3743,825066.7019,992280,826261.2133,825707.0074,TM,URBAN ROAD
992280-992281,992280,826261.2133,825707.0074,992281,826280.5768,825712.0107,TM,URBAN ROAD
992281-991096,992281,826280.5768,825712.0107,991096,826300.3737,825714.7569,TM,URBAN ROAD
992282-992283,992282,826320.3301,825715.3752,992283,827292.1239,825379.8937,TM,URBAN ROAD
992283-992284,992283,827312.0988,825378.8907,992284,827292.1239,825379.8937,TM,URBAN ROAD
992284-991097,992284,827332.0744,825377.9029,991097,827312.0988,825378.8907,TM,URBAN ROAD
992285-992286,992285,827352.0559,825377.0429,992286,828277.9835,825541.0761,TM,URBAN ROAD
992286-992287,992286,828293.9991,825553.0546,992287,828277.9835,825541.0761,TM,URBAN ROAD
992287-991098,992287,828309.5707,825565.605,991098,828293.9991,825553.0546,TM,URBAN ROAD
993001-992008,993001,839961.5617,830412.7727,992008,839660.6231,829661.7624,ST,MAJOR ROUTE
993001-992014,993001,839961.5617,830412.7727,992014,840041.7893,830047.5475,ST,MAJOR ROUTE
993002-992032,993002,839798.8439,827487.5595,992032,839708.1148,826786.7178,ST,MAJOR ROUTE
993002-992076,993002,839798.8439,827487.5595,992076,839448.079,826816.7108,ST,MAJOR ROUTE
993003-993004,993003,840012.1268,826325.7997,993004,839119.3684,822498.9992,ST,MAJOR ROUTE
993004-992038,993004,839119.3684,822498.9992,992038,839057.338,822390.3803,ST,MAJOR ROUTE
993005-992049,993005,838574.5968,828292.4425,992049,837967.6535,827739.9205,ST,MAJOR ROUTE
993005-992058,993005,838574.5968,828292.4425,992058,838522.8731,828072.4826,ST,MAJOR ROUTE
993006-992055,993006,837418.8699,827055.2264,992055,837284.5188,826868.7598,ST,MAJOR ROUTE
993007-992128,993007,837237.9165,826786.9484,992128,836305.5911,826747.8456,ST,MAJOR ROUTE
993007-993008,993007,837237.9165,826786.9484,993008,837226.514,826756.8586,ST,MAJOR ROUTE
993008-992091,993008,837226.514,826756.8586,992091,837337.3622,826343.4255,ST,URBAN ROAD
993008-992117,993008,837226.514,826756.8586,992117,836429.6433,826428.5526,ST,MAJOR ROUTE
993009-992073,993009,837825.3492,827049.691,992073,837690.6981,827173.3496,ST,MAJOR ROUTE
993010-992079,993010,839027.9925,826533.9414,992079,838983.7408,826510.2715,ST,URBAN ROAD
993010-992080,993010,839027.9925,826533.9414,992080,838981.1794,826517.1703,ST,MAJOR ROUTE
993011-992067,993011,838342.1431,826187.3609,992067,838092.899,826104.139,ST,MAJOR ROUTE
993012-992088,993012,836464.5067,825769.519,992088,836236.747,825639.1953,ST,URBAN ROAD
993013-992123,993013,835731.7104,825360.6228,992123,835720.8031,825351.6455,ST,MAJOR ROUTE
993014-992109,993014,836370.1951,824731.2788,992109,836210.8785,824568.9879,ST,MAJOR ROUTE
993015-992115,993015,835894.2349,824187.3438,992115,836738.5515,823043.6365,ST,MAJOR ROUTE
993016-992116,993016,836740.3734,823038.7661,992116,836744.4697,823024.51,ST,MAJOR ROUTE
993017-993018,993017,834821.9649,824311.3009,993018,833257.778,823023.9921,ST,MAJOR ROUTE
993018-992126,993018,833257.778,823023.9921,992126,832980.8479,822769.1088,ST,MAJOR ROUTE
993019-993020,993019,835129.9142,826809.3339,993020,832576.3238,826629.137,ST,MAJOR ROUTE
993020-992137,993020,832576.3238,826629.137,992137,832416.3317,826796.9569,ST,MAJOR ROUTE
993021-992140,993021,823225.0754,834996.5499,992140,823206.885,834965.2862,TM,MAJOR ROUTE
993021-992141,993021,823201.4071,834969.0213,992141,823225.0754,834996.5499,TM,MAJOR ROUTE
993022-993023,993022,824236.8595,829891.4274,993023,824992.7173,826271.2138,TM,MAJOR ROUTE
993023-992161,993023,824992.7173,826271.2138,992161,825145.491,826154.8559,TM,MAJOR ROUTE
993025-992197,993025,815628.7864,828637.3777,992197,815641.9824,828454.4554,TM,MAJOR ROUTE
993025-992244,993025,815628.7864,828637.3777,992244,815795.0103,828324.2237,TM,URBAN ROAD
993026-992242,993026,828232.3586,825962.976,992242,829056.4571,825901.1323,TM,MAJOR ROUTE
